time,seconds_elapsed,latitude,longitude,ellipsoidalAltitude,altitude,course,speed,verticalAccuracy,horizontalAccuracy,speedAccuracy,courseAccuracy
1784547277235176960,-2.399567127227783,43.732613797301944,-79.38284557153267,99.39231122593671,136.80231107334882,-1.0,-1.0,30.0,19.783926835690075,-1.0,-1.0
1784547279673185792,0.03844165802001953,43.732613797301944,-79.38284557153267,0.0,134.76000226597577,-1.0,-1.0,30.737990093619818,21.095014,-1.0,-1.0
1784547279776273920,0.14152979850769043,43.73261418843678,-79.38284715944948,99.39231122593671,136.80231107334882,-1.0,-1.0,30.0,20.24391047232208,-1.0,-1.0
1784547285785856000,6.151111841201782,43.732615951090395,-79.38285431541483,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,17.012574372588297,-1.0,-1.0
1784547291804720896,12.169976711273193,43.73261656292181,-79.38285679930868,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.063789580690017,-1.0,-1.0
1784547297817463040,18.182718753814697,43.73261662428953,-79.38285704844738,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.96730208030475,-1.0,-1.0
1784547303829818880,24.195074796676636,43.73261662449003,-79.38285704926135,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.967301520040564,-1.0,-1.0
1784547309836453888,30.201709747314453,43.73261662449068,-79.382857049264,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.967297887918658,-1.0,-1.0
1784547315847067904,36.2123236656189,43.73261662449068,-79.382857049264,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.96727947021347,-1.0,-1.0
1784547321858007808,42.22326374053955,43.73261662449068,-79.38285704926402,100.22319214254773,137.63319198995984,-1.0,-1.0,30.0,19.967380442258886,-1.0,-1.0
